127.0.0.1 - - [21/Dec/2017:12:00:51 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:53 +0530] "GET /EcommerceFrontend2/ HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:53 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:53 +0530] "GET /EcommerceFrontend2/resource/images/Rado2.jpg HTTP/1.1" 200 80999
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:53 +0530] "GET /EcommerceFrontend2/resource/images/Rado.jpg HTTP/1.1" 200 165843
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:54 +0530] "GET /EcommerceFrontend2/resource/images/men.jpg HTTP/1.1" 200 51650
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:54 +0530] "GET /EcommerceFrontend2/resource/images/women.jpg HTTP/1.1" 200 16389
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:54 +0530] "GET /EcommerceFrontend2/resource/images/kid.jpg HTTP/1.1" 200 43767
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:00:54 +0530] "GET /EcommerceFrontend2/resource/images/Timex.jpg HTTP/1.1" 200 247421
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:06:57 +0530] "GET /EcommerceFrontend2/admin HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:06:57 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:08 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:07:15 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/332 HTTP/1.1" 500 14065
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:11:07 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/332 HTTP/1.1" 500 14074
